ID,Language,Source Text,Translated Text
,ar,Client Name,اسم العميل
,ar,Service Features Name,مميزات الخدمة
,ar,Service Features,مميزات الخدمة
,ar,Personal Information,المعلومات الشخصية
,ar,Company Phone,هاتف الشركة
,ar,Company Website,الموقع الالكتروني للشركة
,ar,Company Information,معلومات الشركة
,ar,Sub Service,الخدمات الفرعية
,ar,English Service Name,اسم الخدمة (انجليزي)
,ar,Arabic Service Name,اسم الخدمة (عربي)
,ar,Main Services Name,اسم الخدمة الرئيسية
,ar,English Service Description,وصف الخدمة (انجليزي)
,ar,Arabic Service Description,وصف الخدمة (عربي)
,ar,Package,الباقات
,ar,Package Name,اسم الباقة
,ar,Main Service,الخدمة الاساسية
,ar,Price (for manth),السعر (شهريا)
,ar,Package Details,تفاصيل الباقة
,ar,websites and applications design,تصميم المواقع والتطبيقات
,ar,Professional Design,تصميم احترافي
,ar,Compatibility with browser,التوافق مع المتصفحات
,ar,Logo Design,تصميم شعار
,ar,Multi Language,تعداد اللغات
,ar,Multiple pages,أقسام وصفحات غير محدودة
,ar,Live chat,محادثة مباشرة
,ar,Adding  in Google,اضافة الموقع في جوجل
,ar,Photo and video gallery,معرض صور وفيديو
,ar,Adding social media pages,اضافة مواقع التواصل الاجتماعي
,ar,Service Request Forms,نموذج طلب خدمة
,ar,Product and shopping cart,منتجات مع سلة المشتريات
,ar,Website stats,احصائيات للموقع
,ar,Platform upgrade,التحديث والترقيه للمنصة
,ar,Training  on Dashboard,تدريب على لوحة التحكم
,ar,Technical support,الدعم الفني
,ar,Protection and security,الحماية
,ar,Web hosting services,خدمة الاستضافة
,ar,RAM,الرام العشوائي
,ar,Hard drive,الهارد ديسك
,ar,Traffic,الترافيك
,ar,Processor,المعالج
,ar,Number of files,عدد الملفات
,ar,Number of connections at the moment,عدد الاتصالات فى اللحظة
,ar,Number of  emails,عدد الإيميلات
,ar,Number of databases,عدد قواعد البيانات
,ar,SSL certificate,شهادة ssl
,ar,Cyber security service,خدمة الامن السيبراني
,ar,24 hours technical support,دعم فني 24 ساعة
,ar,Service Name,اسم الخدمة
,ar,Service Description,وصف الخدمة
,ar,Main Services,الخدمات الرئيسية
,ar,Basic Information,المعلومات الاساسية
,ar,Client information,معلومات العميل
,ar,Client Phone,الهاتف
,ar,Client Email,الايميل
,ar,Client Address,العنوان
,ar,Company Address,عنوان الشركة
,ar,Subscription details,تفاصيل الاشتراك
,ar,Total Subscription Days,اجمالي ايام الاشتراك
,ar,Total price,السعر الاجمالي
,ar,Communication Requests,طلبات التواصل
,ar,Srevice Name,اسم الخدمة
,ar,Company website,الموقع الالكتروني للشركة
,ar,Main Service,الخدمة الرئيسية
,ar,Collection of Subscription,التحصيل من الاشتراكات
,ar,Communication Request,طلبات التواصل
,ar,Main Services List,قائمة الخدمات الرئيسية
,ar,New Main Service,اضافة خدمة رئيسية
,ar,Main Service Report,تقارير الخدمة الرئيسية
,ar,Sub Services,الخدمات الفرعية
,ar,Sub Services List,قائمة الخدمات الفرعية
,ar,New Sub Service,اضافة خدمة فرعية
,ar,Sub Service Report,تقارير الخدمة الفرعية
,ar,Subscription List,قائمة الاشتراكات
,ar,New Subscription,اشتراك جديد
,ar,Subscription Report,تقارير الاشتراكات
,ar,Number of client,عدد العملاء
,ar,Clients,العملاء
,ar,Client List,قائمة العملاء
,ar,New Client,اضافة عميل 
,ar,Client Report,تقارير العملاء
,ar,Communication Request,طلبات التواصل
,ar,Communication Requests List,قائمة طلبات التواصل
,ar,Communication Requests Report,تقارير طلبات التواصل
,ar,Packages,الباقات
,ar,Package List,قائمة الباقات
,ar,New Package,اضافة باقة 
,ar,Package Report,تقارير الباقات
,ar,Complaint topic,عنوان الشكوى
,ar,Technical support topic,الدعم الفني
